Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID
golden piggy bank,,NA,1,gold nugget,1,piggy bank,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,2.0.0,Yes,100,Miscellaneous,14479,gold,FtrGoldPigbank,NA,1112,1020,mHpfACFkTpL4vGppR
golden pillar,,NA,4,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Niko,"Received after donating DIY materials, after 19th HHP house",Happy Home Paradise,Yes,2.0.0,Yes,0,Other,14600,color_54,FtrWallPillarGold,NA,1182,835,NtqEiTFP8SyhYA8Gz
golden plate armor,,NA,2,gold nugget,1,plate armor,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,2.0.0,Yes,100,Housewares,14478,gold,FtrGoldArmor,NA,1115,1019,7avyvZXAoTyvKwpfC
golden rod,,NA,1,gold nugget,1,fishing rod,,,,,,,,,NFS,200,NA,NA,Completing fish Critterpedia,,NA,NA,1.0.0,Yes,0,Tools,8660,gold,ToolFishingrodGold,NA,114,662,FTWgTtoCgm3jNGhM4
golden samurai suit,,NA,2,gold nugget,1,samurai suit,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,2.0.0,Yes,100,Housewares,14533,gold,FtrGoldArmorHelmetJapan,NA,1121,1032,aD9hH8DGH6dsqBCva
golden seat,,NA,5,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,200,Housewares,3473,gold,FtrGoldbench,NA,1103,133,EgGa9re6PRbpcCESz
golden shovel,,NA,1,gold nugget,1,shovel,,,,,,,,,NFS,200,NA,NA,Helping Gulliver 30 times,,NA,NA,1.0.0,Yes,0,Tools,8574,gold,ToolScoopGold,NA,113,660,aEtPEYkwgj9BJ48Et
golden slingshot,,NA,1,gold nugget,1,slingshot,,,,,,,,,NFS,200,NA,NA,Gold balloon,Balloon appears after shooting 300 balloons,NA,NA,1.0.0,Yes,0,Tools,8578,gold,ToolSlingshotGold,NA,117,661,W7WY5fpjB4Lc36YYs
golden toilet,,NA,6,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,200,Housewares,3472,gold,FtrGoldWC,NA,1106,262,LExLS6QXyLuhewyZm
golden urn,,NA,1,gold nugget,1,metal pot,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,2.0.0,Yes,100,Miscellaneous,14490,gold,FtrGoldBrassJar,NA,1110,1025,mGtYwEsETuEbH4gdT
golden vase,,NA,1,gold nugget,1,fine vase,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,2.0.0,Yes,100,Housewares,14481,gold,FtrGoldVaseLuxury,NA,1119,1028,W2ijDa6gBzFnquBke
golden wall,,NA,4,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4894,gold,RoomTexWallGold00,NA,1150,299,u7gdHaAk5nbB4p5Ru
golden wand,,NA,2,gold nugget,3,star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Tools,7591,gold,ToolStickGolden,NA,1170,539,RgNWgCdnAK2qjJTmo
golden watering can,,NA,1,gold nugget,1,watering can,,,,,,,,,NFS,NA,NA,NA,Isabelle,Obtained after the 5-star island evaluation,NA,NA,1.0.0,Yes,0,Tools,8533,gold,ToolWateringGold,NA,116,659,HShnyCLB3cPL5xNTx
golden wristwatch,,NA,1,gold nugget,1,wristwatch,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,2.0.0,Yes,100,Miscellaneous,14491,gold,FtrGoldWristwatch,NA,1114,1026,qmZ69KX9rJ6GPgBNA
gong,,NA,6,iron nugget,5,wood,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Housewares,4075,dark gray,FtrTamtam,NA,910,393,sLG4MSw3ReWmoBQNf
grass skirt,,NA,7,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Equipment,4333,green,BottomsTexSkirtBoxGrass0,NA,1286,603,zuxKqmoD6WAAzheNq
grass standee,,NA,2,wood,2,softwood,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Housewares,530,brown,FtrHariboteGrass,NA,378,582,Q7M9H8k9C9iTsWafA
gratin,,NA,3,flour,2,potato,,,,,,,,,NFS,200,NA,NA,Turkey Day Recipes,Obtain Turkey Day Recipes from Franklin or buy it from Nook's Cranny,Turkey Day; Turkey Day (days after),Yes,2.0.0,Yes,0,Savory,13327,color_71,FtrGratin,NA,15203,971,9bbnEpmrLnzF7X4Qn
green bamboo fence,,NA,6,bamboo piece,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,2.0.0,Yes,0,Other,14755,green,ItemFenceCrossedBamboo,NA,2491,1007,e48TfATaH7eEy2Ar3
green bamboo mat,,NA,3,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,2.0.0,Yes,50,Rugs,12329,green,RugRectBambooBathmatS00,NA,2471,984,4b3JNwSsyK8eRKQcs
green grass skirt,,NA,7,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Equipment,8907,green,BottomsTexSkirtBoxGrass1,NA,1287,605,mzQREt22Mh8reP5WY
green-leaf pile,,NA,1,young spring bamboo,10,clump of weeds,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Housewares,4269,green,FtrFallenleavesGreen,NA,3001,587,yN7Ly9tsMKDvKqHu8
grilled sea bass with herbs,,NA,1,sea bass,5,clump of weeds,,,,,,,,,NFS,200,NA,NA,Be a Chef! DIY Recipes+,,NA,NA,2.0.0,Yes,0,Savory,14165,color_61,FtrFishdishBass,NA,13501,945,KuYrNQgta4S3djJvm
hanging glowing moss,,NA,5,glowing moss,3,vine,,,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Ceiling Decor,14210,color_56,FtrLuMossLightCeiling,NA,1545,993,RDwCBti2x8gbwxZLb
hanging terrarium,,NA,12,clump of weeds,4,iron nugget,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3775,green,FtrTerrariumWall,NA,1232,396,GNtJWEuH8EoLwwi2a
hay bed,,NA,20,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny,NA,NA,1.0.0,Yes,0,Housewares,3675,green,FtrHaybed,NA,1200,167,7TFmXPG98wdcvvQe6
hearth,,NA,2,bamboo piece,5,iron nugget,4,clay,5,hardwood,,,,,NFS,200,NA,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,NA,NA,1.0.0,Yes,0,Housewares,722,green,FtrIrori,NA,2407,217,HwZwNAuYqaBbwS2YL
hedge,,NA,10,clump of weeds,5,tree branch,2,stone,,,,,,,NFS,200,NA,NA,Leif,Obtained from Leif after buying anything from him on three different days,NA,NA,1.2.0,Yes,0,Other,12758,green,ItemFenceIkegaki,NA,1291,713,m9LpprrQ6sP6EnArD
hedge standee,,NA,2,wood,3,softwood,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Housewares,531,brown,FtrHariboteHedge,NA,379,583,6Gq4PMmcJqzJySt7G
holiday candle,,NA,5,red ornament,5,clump of weeds,,,,,,,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Miscellaneous,891,white,FtrCandleXmas,NA,7401,372,5f7xR7Kvm2mMwpGjz
honeycomb flooring,,NA,5,wasp nest,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Floors,4999,orange,RoomTexFloorHoney00,NA,2060,472,Yq6j7ppP9e4k6GuSz
honeycomb wall,,NA,6,wasp nest,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4865,orange,RoomTexWallHoney00,NA,2050,296,XJZCow9k2yrtvYDSc
hyacinth crown,,NA,4,red hyacinths,2,yellow hyacinths,2,white hyacinths,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,0,Equipment,5096,green,CapOrnamentHyacinth1,NA,8220,237,wChSX5vstYGQaWma7
hyacinth lamp,,NA,5,purple hyacinths,3,clay,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,7234,green,FtrFlowerLamp,NA,7806,506,fBKmq2YprMreQQrYo
hyacinth wand,,NA,1,pink hyacinths,3,star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Tools,5083,green,ToolStickHyacinth,NA,8276,524,SfyT7DJYnMvjQmSRX
hyacinth wreath,,NA,3,white hyacinths,3,red hyacinths,3,yellow hyacinths,,,,,,,NFS,200,NA,NA,All villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native flower is hyacinths,NA,NA,1.0.0,Yes,50,Wall-mounted,5468,green,FtrDoorOrnamentWreathHyacinth,NA,7860,232,ysyo8kjy4NBvj929M
ice flooring,,NA,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Floors,5516,blue,RoomSpFloorIce00,NA,6660,288,r4NnQCo7BTJX7QwLd
ice wall,,NA,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Wallpaper,5505,blue,RoomSpWallIce00,NA,6650,293,An3uWvJLZrfNtdewM
ice wand,,NA,1,large snowflake,3,star fragment,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Tools,7585,blue,ToolStickSnow,NA,6690,533,pfuLcy3eLoxPsFMQy
iceberg flooring,,NA,10,snowflake,,,,,,,,,,,NFS,200,NA,NA,Balloons,,snowflakes,Yes,1.0.0,Yes,0,Floors,5253,blue,RoomSpFloorIceFloe00,NA,7061,289,hbGr49z9cKw5qeryp
iceberg wall,,NA,10,snowflake,,,,,,,,,,,NFS,200,NA,NA,Balloons,,snowflakes,Yes,1.0.0,Yes,0,Wallpaper,5662,blue,RoomTexWallIceFloe00,NA,7051,302,89NQTyckGsnbPBcxX
illuminated present,,NA,3,red ornament,4,gold ornament,3,iron nugget,,,,,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,4108,white,FtrIllumiPresent,NA,7408,401,ZC8ykvryfN44HMCiJ
illuminated reindeer,,NA,6,gold ornament,5,iron nugget,,,,,,,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,4074,white,FtrIllumiReindeer,NA,7409,392,PWkTWdSn5n9DncHBJ
illuminated snowflakes,,NA,9,blue ornament,3,iron nugget,,,,,,,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,4131,white,FtrIllumiSnow,NA,7407,406,R2G2JJGg5deoW7GxT
illuminated tree,,NA,8,red ornament,8,blue ornament,6,gold ornament,6,iron nugget,,,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,4066,white,FtrIllumiTree,NA,7410,203,S8meymsrnGbZRN5XM
imperial fence,,NA,6,wood,4,softwood,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,4354,brown,ItemFenceChinese,NA,597,550,6xscDDXokkLGARAzw
imperial pot,,NA,3,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,2.0.0,Yes,0,Miscellaneous,12706,dark gray,FtrWok,NA,918,1052,hhJA4qQsLaQcGJYAG
infused-water dispenser,,NA,2,apple,2,pear,2,cherry,2,orange,2,peach,2,coconut,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,4107,white,FtrFruitswater,NA,1901,400,t24vHrtE8fyRkzyWK
iron armor,,NA,8,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Equipment,4588,dark gray,TopsTexOnepieceOverallLPlatearmorIron,NA,961,640,qMDWWFfXPFTMpGTpQ
iron closet,,NA,12,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,9642,dark gray,FtrIronClosetLR,NA,904,573,PamdzQi8BcNbAqHmL
iron doorplate,,NA,2,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,4752,dark gray,FtrDoorOrnamentIron,NA,940,468,ckD6nctsXhWjtaRmJ
iron fence,,NA,6,iron nugget,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,4357,dark gray,ItemFenceSteel,NA,971,267,6b9c3c3cRkfK3sqXu
iron frame,,NA,20,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Housewares,2553,dark gray,FtrIronframe,NA,915,79,hzFGkyKC77m5kAHSA
iron garden bench,,NA,8,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,1625,dark gray,FtrIrongardenBench,NA,902,63,oDze7K3AbxFpni27M
iron garden chair,,NA,3,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,1626,dark gray,FtrIrongardenChair,NA,900,64,GTMdcZkxvPs6tDdQZ
iron garden table,,NA,5,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,1627,dark gray,FtrIrongardenTable,NA,901,65,LfmT6j46no2RNRXDi
iron hanger stand,,NA,3,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Housewares,3561,dark gray,FtrIronHanger,NA,906,365,sFNTL2NeXckRLskP7
iron ladder set-up kit,,NA,1,ladder,5,iron nugget,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Tools,13534,beige,LadderKitC0,NA,125,761,K9F8ByCQTiJuaJkiG
iron shelf,,NA,14,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,3563,dark gray,FtrIronShelf,NA,905,128,McdRNpxXrk9xKkK4S
iron wall lamp,,NA,4,iron nugget,2,clay,,,,,,,,,NFS,200,NA,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,NA,NA,1.0.0,Yes,0,Wall-mounted,3559,dark gray,FtrIronLampW,NA,930,122,b9KAgbNSetaJieTKp
iron wall rack,,NA,3,iron nugget,1,clay,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3562,dark gray,FtrIronShelfW,NA,931,123,DYTTSvnJoQAtBqSpL
iron wand,,NA,3,iron nugget,3,star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Tools,7592,dark gray,ToolStickIron,NA,979,540,MYYovLTdmLov8y2hL
iron worktable,,NA,10,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,3560,dark gray,FtrIronTableM,NA,903,126,yoWsZbmhYnfeXhTgr
iron-and-stone fence,,NA,6,stone,3,iron nugget,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,5206,light gray,ItemFenceIronAndStone,NA,871,555,qe9qWWJB7wDbMLKTG
ironwood bed,,NA,20,wood,10,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Housewares,3200,blue,FtrIronwoodBedS,NA,1005,87,Gs6r4jNYwqfyjcBAQ
ironwood cart,,NA,6,wood,4,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Housewares,3195,blue,FtrIronwoodServingcart,NA,1001,85,MdPCQSxd8CnBRe9Ac
ironwood chair,,NA,3,wood,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Housewares,3193,blue,FtrIronwoodChairS,NA,1000,83,geDcbiFqc4L4eZojy
ironwood clock,,NA,2,wood,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3275,blue,FtrIronwoodClockW,NA,1040,94,vWYzQ9pTSBH5Wbmmk
ironwood cupboard,,NA,12,wood,6,iron nugget,1,ironwood dresser,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,100,Housewares,3271,blue,FtrIronwoodCupboard,NA,1006,92,bFD87nMsrphrQcGhi
ironwood DIY workbench,,NA,12,wood,6,iron nugget,1,mini DIY workbench,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Housewares,3943,blue,FtrWorkbenchIronwood,NA,1008,125,qfemQxWGxbseGW4pR
ironwood dresser,,NA,7,wood,4,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Housewares,3196,blue,FtrIronwoodChest,NA,1002,86,zHZA38BSSukQPvfAx
ironwood kitchenette,,NA,4,wood,3,iron nugget,1,ironwood dresser,1,cutting board,,,,,NFS,200,NA,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,NA,NA,1.0.0,Yes,0,Housewares,3270,blue,FtrIronwoodKitchen,NA,1007,91,Aws83WvmsMbK8mamt
ironwood low table,,NA,6,wood,4,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Housewares,3194,blue,FtrIronwoodTableM,NA,1004,84,hZCJc27R4RDJwNj6y
ironwood table,,NA,12,wood,6,iron nugget,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Housewares,3191,blue,FtrIronwoodTableL,NA,1003,35,kWp7B34ACYfXs4HEk
jail bars,,NA,5,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Housewares,5931,dark gray,FtrScreenCage,NA,912,435,cQRevEHviBPSXaDRz
jarred bamboo shoots,,NA,3,bamboo shoot,,,,,,,,,,,NFS,200,NA,NA,Daisy Mae,Sent in the mail after purchasing turnips,NA,NA,2.0.0,Yes,0,Savory,14186,color_76,FtrJarBambooshoot,NA,13603,965,o7n4c3j2oKxisseHM
jarred mushrooms,,NA,2,skinny mushroom,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14185,color_76,FtrJarMushroom,NA,13604,964,kKpaFJYT2LZEZDt4P
Jingle wall,,NA,5,red ornament,5,blue ornament,5,gold ornament,5,clay,,,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Wallpaper,5230,white,RoomSpWallXmas00,NA,7450,291,yHZv2YNkbKzqaCich
juicy-apple TV,,NA,10,apple,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Big Sister villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is apples,NA,NA,1.0.0,Yes,100,Housewares,2596,red,FtrFruitsTV,NA,1821,6,gjc7Wju56JYDhkwvJ
jungle flooring,,NA,10,clump of weeds,10,clay,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Floors,5515,green,RoomTexFloorJungle00,NA,1260,470,8Dg67mD5L3628ZfXP
jungle wall,,NA,15,clump of weeds,3,wood,3,hardwood,3,softwood,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,5457,green,RoomTexWallJungle00,NA,1250,326,sKFxDKgEMLzZtPu7K
kabu ankake,,NA,1,10 turnips,,,,,,,,,,,NFS,200,NA,NA,Daisy Mae,Sent in the mail after purchasing turnips,NA,NA,2.0.0,Yes,0,Savory,13983,color_62,FtrWholesaladTurnip,NA,12604,892,hdvz6zEX3caCYhWmm
karei no nitsuke,,NA,1,dab,,,,,,,,,,,NFS,200,NA,NA,Catching a dab,,NA,NA,2.0.0,Yes,0,Savory,14162,color_66,FtrFishdishTurbot,NA,13503,942,es2Y8XAfq9uzm73Pb
kettle bathtub,,NA,8,iron nugget,2,wood,1,campfire,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Housewares,4008,dark gray,FtrGoemonburo,NA,916,490,WJQG9QKBGGGyAiGxk
kettlebell,,NA,5,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,7535,dark gray,FtrKettlebell,NA,913,600,Mmspyi3WpibXgBh2u
key holder,,NA,3,wood,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3992,brown,FtrKeyhanger,NA,480,437,cXTKSu7vAHz2c3tmD
King Tut mask,,NA,5,gold nugget,,,,,,,,,,,NFS,NA,NA,NA,Hitting a rock,Picking up gold nuggets knocked out of rocks,NA,NA,1.4.0,Yes,0,Equipment,5607,gold,CapFullfaceKingtut0,NA,1163,716,dYrMmg7tsBvSwarEc
knight's helmet,,NA,5,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Equipment,5334,dark gray,CapFullfaceKnightIron,NA,960,641,3u8tk4SyAemkHTRzz
knitted-grass backpack,,NA,20,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Equipment,7511,green,BagBackpackGrass0,NA,1288,636,CoEssbnPs7xhuMbTF
ladder,,NA,4,wood,4,hardwood,4,softwood,,,,,,,500,200,NA,NA,Tom Nook; Nook's Cranny,Obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Tools,2615,beige,ToolLadder,NA,122,107,QHAFqRRLE65RSvmQh
large cardboard boxes,,NA,5,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,1,Housewares,3412,yellow,FtrMovingboxL,NA,2136,611,6eBT8zf9Fv2GWbZRk
large lattice fence,,NA,10,softwood,,,,,,,,,,,NFS,200,NA,NA,Custom Fencing in a Flash,,NA,NA,2.0.0,Yes,0,Other,5208,brown,ItemFenceLatticeBig,NA,595,557,r6FwihxLyirdpEeTm
lattice fence,,NA,8,softwood,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,11712,brown,ItemFenceLatiiceNatural,NA,592,657,LRSdBoRQia8MgkGRg
leaf,,NA,5,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Equipment,4682,green,AccessoryMouthLeafGreen,NA,1280,261,cJ9rqxsr9oZKrjHXJ
leaf campfire,,NA,3,pine cone,5,clump of weeds,3,tree branch,,,,,,,NFS,200,NA,NA,Balloons,,acorns and pine cones,Yes,1.0.0,Yes,0,Housewares,7788,brown,FtrFallenleavesfire,NA,4603,509,ziEwyR6mTntmTaKfX
leaf mask,,NA,10,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Equipment,7291,green,CapMaskLeaf0,NA,1281,635,ng67WBZo7rRfQSWDa
leaf stool,,NA,3,maple leaf,3,wood,,,,,,,,,NFS,200,NA,NA,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Housewares,7390,brown,FtrFallenleavesChairS,NA,4604,519,u2hwyRwKoRYdCHrHY
leaf umbrella,,NA,15,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Equipment,6840,green,UmbrellaLeaf0,NA,1282,456,DyPomQRjemr3vjDQt
leaf-egg outfit,,NA,3,leaf egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting leaf eggs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12451,yellow,TopsTexOnepieceRibNEggleaf0,NA,8667,680,iJeXo3dJrybEpPEHw
leaf-egg shell,,NA,2,leaf egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting leaf eggs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12441,yellow,CapHatEggleaf0,NA,8666,679,9Bf5xhQJQHvW8n8Jc
leaf-egg shoes,,NA,2,leaf egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting leaf eggs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12457,yellow,ShoesLowcutEggleaf0,NA,8668,681,wKxwrd3MDWZDidSGp
Leo sculpture,,NA,3,star fragment,2,Leo fragment,2,gold nugget,3,stone,,,,,NFS,200,NA,NA,Celeste,,Leo,Yes,1.0.0,Yes,0,Wall-mounted,5964,silver,FtrZodiacLeo,NA,2304,407,5QHREHAwKLPzLmmDi
Libra scale,,NA,3,star fragment,2,Libra fragment,2,gold nugget,,,,,,,NFS,200,NA,NA,Celeste,,Libra,Yes,1.0.0,Yes,0,Miscellaneous,3774,silver,FtrZodiacLibra,NA,2306,132,td7wJhwym4yZKy6tQ
light bamboo bath mat,,NA,3,young spring bamboo,,,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,2.0.0,Yes,0,Rugs,12399,green,RugRectBambooS00,NA,3072,987,3f95C6nTwwrNNHMmB
light bamboo rug,,NA,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Rugs,11113,green,RugRectBambooM00,NA,3070,671,QfT9N8GGPr4x3u9hH
lily crown,,NA,2,red lilies,2,yellow lilies,2,white lilies,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,0,Equipment,5114,green,CapOrnamentYuri1,NA,8223,255,kAqnCE6oFFAeZvYXN
lily record player,,NA,5,white lilies,3,iron nugget,3,wood,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Housewares,7236,green,FtrFlowerRecordplayer,NA,7807,515,Y9NXrLeRe8XHPFRDN
lily wand,,NA,1,white lilies,3,star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Tools,5094,green,ToolStickYuri,NA,8277,530,sKXdSX9eDXe7mEpxG
